Abraham Lincoln Birthplace National Historical Park
Acadia National Park
Adams National Historical Park
African American Civil War Memorial
African Burial Ground National Monument
Agate Fossil Beds National Monument
Ala Kahakai National Historic Trail
Alagnak Wild River
Alcatraz Island
Alibates Flint Quarries National Monument
Allegheny Portage Railroad National Historic Site
American Memorial Park
Amistad National Recreation Area
Andersonville National Historic Site
Andrew Johnson National Historic Site
Aniakchak National Monument and Preserve
Antietam National Battlefield
Apostle Islands National Lakeshore
Appalachian National Scenic Trail
Appomattox Court House National Historical Park
Arches National Park
Arkansas Post National Memorial
"Arlington House, The Robert E. Lee Memorial"
Assateague Island National Seashore
Aztec Ruins National Monument
Badlands National Park
Bandelier National Monument
Belmont-Paul Women's Equality National Monument
Bent's Old Fort National Historic Site
Bering Land Bridge National Preserve
Capitol Reef National Park
Capulin Volcano National Monument
Carl Sandburg Home National Historic Site
Carlsbad Caverns National Park
Carter G. Woodson Home National Historic Site
Casa Grande Ruins National Monument
Castillo De San Marcos National Monument
Castle Clinton National Monument
Castle Mountains National Monument 
Catoctin Mountain Park
Cedar Breaks National Monument
Cedar Creek and Belle Grove National Historical Park
César E. Chávez National Monument
Chaco Culture National Historical Park
Chamizal National Memorial
Channel Islands National Park
Charles Pinckney National Historic Site
Charles Young Buffalo Soldiers National Monument
Chattahoochee River National Recreation Area
Chesapeake and Ohio Canal National Historical Park
Chickamauga & Chattanooga National Military Park
Chickasaw National Recreation Area
Chimney Rock National Historic Site
Chiricahua National Monument
Christiansted National Historic Site
City of Rocks National Reserve
Clara Barton National Historic Site
Colonial National Historical Park
Colorado National Monument
Congaree National Park
Constitution Gardens
Coronado National Memorial
Cowpens National Battlefield
Crater Lake National Park
Craters of the Moon National Monument and Preserve
Cumberland Gap National Historical Park
Cumberland Island National Seashore
Curecanti National Recreation Area
Cuyahoga Valley National Park
Dayton Aviation Heritage National Historical Park
De Soto National Memorial
Death Valley National Park
Delaware National Scenic River
Delaware Water Gap National Recreation Area
Denali National Park and Preserve
Devils Postpile National Monument
Devils Tower National Monument
Dinosaur National Monument
Dry Tortugas National Park
Ebey's Landing National Historical Reserve
Edgar Allan Poe National Historic Site
Effigy Mounds National Monument
Eisenhower National Historic Site
El Malpais National Monument
El Morro National Monument
Eleanor Roosevelt National Historic Site
Ellis Island National Monument
Erie Canalway National Heritage Corridor
Eugene O'Neill National Historic Site
Everglades National Park
Federal Hall National Memorial
Fire Island National Seashore
First Ladies National Historic Site
First State National Historical Park
Flight 93 National Memorial
Florissant Fossil Beds National Monument
Ford's Theatre National Historic Site
Fort Bowie National Historic Site
Fort Caroline National Memorial
Fort Davis National Historic Site
Fort Donelson National Battlefield
Fort Frederica National Monument
Fort Laramie National Historic Site
Fort Larned National Historic Site
Fort Matanzas National Monument
Fort McHenry National Monument and Historic Shrine
Fort Monroe National Monument
Fort Necessity National Battlefield
Fort Point National Historic Site
Fort Pulaski National Monument
Fort Raleigh National Historic Site
Fort Scott National Historic Site
Fort Smith National Historic Site
Fort Stanwix National Monument
Fort Sumter National Monument
Fort Union National Monument
Fort Union Trading Post National Historic Site
Fort Vancouver National Historic Site
Fort Washington Park
Fossil Butte National Monument
Franklin Delano Roosevelt Memorial
Frederick Douglass National Historic Site
Frederick Law Olmsted National Historic Site
Fredericksburg and Spotsylvania National Military Park
Freedom Riders National Monument
Friendship Hill National Historic Site
Gates of The Arctic National Park and Preserve
Gateway Arch National Park
Gateway National Recreation Area
Gauley River National Recreation Area
General Grant National Memorial
George Rogers Clark National Historical Park
George Washington Birthplace National Monument
George Washington Carver National Monument
George Washington Memorial Parkway
Gettysburg National Military Park
Gila Cliff Dwellings National Monument
Glacier Bay National Park and Preserve
Glacier National Park
